id,vendor,model,cpu,elux_release
amulet_hotkey_dx1550_intel_processor_u300_1,Amulet Hotkey,DX1550,Intel Processor U300,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
amulet_hotkey_dx1554_intel_processor_u300_2,Amulet Hotkey,DX1554,Intel Processor U300,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
amulet_hotkey_dx1714_intel_core_i5_1335u_13th_gen_3,Amulet Hotkey,DX1714,Intel Core i5-1335U (13th Gen),eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
asus_nuc_14_essential_slim_pc_kit_rnuc14mnk9700002_intel_processor_n97_4,Asus,NUC 14 Essential Slim PC Kit RNUC14MNK9700002,Intel Processor N97,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
centerm_s25_ultra_mini_pc_intel_processor_n150_5,Centerm,S25 Ultra Mini PC,Intel Processor N150,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_pro_14_plus_pb14250_intel_core_ultra_5_235u_vpro_6,Dell,Pro 14 Plus PB14250,Intel Core Ultra 5 235U vPro,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5550_intel_core_i5_1335u_13th_gen_7,Dell,Latitude 5550,Intel Core i5-1335U (13th Gen),eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5540_8,Dell,Latitude 5540,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5440_9,Dell,Latitude 5440,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_3440_10,Dell,Latitude 3440,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5530_11,Dell,Latitude 5530,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5520_12,Dell,Latitude 5520,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_5420_13,Dell,Latitude 5420,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_3420_14,Dell,Latitude 3420,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_3410_15,Dell,Latitude 3410,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_latitude_3400_16,Dell,Latitude 3400,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
dell_wyse_5470_mobile_thin_client_17,Dell,Wyse 5470 Mobile Thin Client,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
