id,notes
amulet_hotkey_dx1550_intel_processor_u300_1,
amulet_hotkey_dx1554_intel_processor_u300_2,
amulet_hotkey_dx1714_intel_core_i5_1335u_13th_gen_3,
asus_nuc_14_essential_slim_pc_kit_rnuc14mnk9700002_intel_processor_n97_4,
centerm_s25_ultra_mini_pc_intel_processor_n150_5,
dell_pro_14_plus_pb14250_intel_core_ultra_5_235u_vpro_6,
dell_latitude_5550_intel_core_i5_1335u_13th_gen_7,
dell_latitude_5540_8,
dell_latitude_5440_9,
dell_latitude_3440_10,
dell_latitude_5530_11,
dell_latitude_5520_12,
dell_latitude_5420_13,
dell_latitude_3420_14,
dell_latitude_3410_15,
dell_latitude_3400_16,Only certified for eLux 7 2601
dell_wyse_5470_mobile_thin_client_17,
dell_dock_wd19_18,
dell_dock_integrated_in_monitor_c2422he_19,
dell_dock_integrated_in_monitor_c2722de_20,
dell_dock_integrated_in_monitor_c3422we_21,
dell_pro_max_micro_fcm2250_intel_core_ultra_7_265_22,
dell_pro_micro_plus_qbm1250_intel_core_ultra_5_235t_23,
dell_optiplex_micro_form_factor_plus_7020_24,
dell_optiplex_3060_25,Only certified for eLux 7 2601
dell_optiplex_3050_26,Only certified for eLux 7 2601
dell_optiplex_3000_intel_celeron_n5105_27,
dell_optiplex_3000_intel_pentium_n6005_28,
dell_optiplex_3090_ultra_29,
dell_wyse_5070_30,
dell_wyse_7020_wyse_z50qq_31,Up to four monitors
dell_wyse_5060_32,
dell_wyse_5020_33,
dell_dock_wd19s_34,
extra_computer_gmbh_exone_thin_client_mobile_x14_intel_n200_35,
extra_computer_gmbh_exone_thin_client_entry_x14_intel_n100_36,
fujitsu_lifebook_e5512_intel_celeron_7305_37,
fujitsu_lifebook_e5511_intel_core_i7_1165g7_38,
fujitsu_lifebook_e5510_intel_core_i5_10210u_39,
fujitsu_lifebook_e5410_intel_celeron_5305u_40,
fujitsu_lifebook_e559_intel_core_i5_8265u_41,
fujitsu_lifebook_e556_intel_celeron_3855u_42,
fujitsu_futro_s9011_nvidia_quadro_t400_43,With NVIDIA Quadro T400
fujitsu_futro_s7011_44,
fujitsu_futro_s5011_45,
fujitsu_futro_s9010_46,
fujitsu_futro_s940_47,
fujitsu_futro_s740_48,
fujitsu_futro_s540_49,
hp_mt645_g8_50,
hp_mt645_g7_51,
hp_pro_mt440_g3_52,
hp_mt46_53,
hp_mt45_54,
hp_mt22_55,
hp_mt21_56,
hp_elite_t755_57,
hp_elite_t655_58,
hp_pro_t550_59,
hp_t740_60,
hp_t640_61,
hp_t540_62,
hp_t730_63,
hp_t630_64,
hp_t530_65,
hp_t430_66,
igel_ud3_m350c_67,
lenovo_thinkpad_e14_gen_7_intel_ultra_5_225u_68,
lenovo_thinkpad_l16_gen1_intel_core_ultra_5_125u_69,
lenovo_thinkpad_l14_gen5_intel_core_ultra_5_125u_70,
lenovo_thinkcentre_m720q_tiny_intel_core_i5_9500t_71,
lenovo_thinkcentre_m70q_gen_5_intel_core_i3_14100t_72,
lg_gram_mobile_thin_client_17zt90r_g_ax34g_intel_core_i3_1315u_13th_gen_73,
lg_thin_client_cl600n_6n_74,
mostron_touch_panel_pc_tspc5_24_75,
nexterminal_nexlaptop_iv_76,
nexterminal_nexstation_xi_dp_dp2_intel_quad_core_2_0ghz_77,
nexterminal_nexstation_x_78,
