vendor;modello;CPU;note;eLux release
Amulet Hotkey;DX1550;Intel Processor U300;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Amulet Hotkey;DX1554;Intel Processor U300;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Amulet Hotkey;DX1714;Intel Core i5-1335U (13th Gen);;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Asus;NUC 14 Essential Slim PC Kit RNUC14MNK9700002;Intel Processor N97;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Centerm;S25 Ultra Mini PC;Intel Processor N150;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Pro 14 Plus PB14250;Intel Core Ultra 5 235U vPro;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5550;Intel Core i5-1335U (13th Gen);;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5540;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5440;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 3440;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5530;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5520;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 5420;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 3420;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 3410;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Latitude 3400;;Only certified for eLux 7 2601;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Wyse 5470 Mobile Thin Client;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Dock WD19;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Dock integrated in Monitor C2422HE;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Dock integrated in Monitor C2722DE;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Dock integrated in Monitor C3422WE;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Pro Max Micro FCM2250;Intel Core Ultra 7 265;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Pro Micro Plus QBM1250;Intel Core Ultra 5 235T;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex Micro Form Factor Plus 7020;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex 3060;;Only certified for eLux 7 2601;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex 3050;;Only certified for eLux 7 2601;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex 3000;Intel Celeron N5105;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex 3000;Intel Pentium N6005;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;OptiPlex 3090 Ultra;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Wyse 5070;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Wyse 7020 (Wyse Z50QQ);;Up to four monitors;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Wyse 5060;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Wyse 5020;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Dell;Dock WD19S;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
EXTRA Computer GmbH;exone Thin Client Mobile X14;Intel N200;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
EXTRA Computer GmbH;exone Thin Client Entry X14;Intel N100;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E5512;Intel Celeron 7305;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E5511;Intel Core i7-1165G7;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E5510;Intel Core i5-10210U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E5410;Intel Celeron 5305U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E559;Intel Core i5-8265U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;LIFEBOOK E556;Intel Celeron 3855U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Fujitsu;FUTRO S9011;NVIDIA Quadro T400;With NVIDIA Quadro T400;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
